name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Aihen MuÃ±oz,Aihen,ES,Real Sociedad,Defender,25,20,1344,0,0,0,0,0,0,0,0,0,0,1670,1384,286,14,14,4,4,11,17,2,1
Alexander Isak,Isak,SE,Real Sociedad,Forward,23,32,2155,6,2,0,1,5,2,2,0,0,0,1126,898,228,44,44,1,54,3,4,6,0
Alexander SÃ¸rloth,SÃ¸rloth,NO,Real Sociedad,Forward,26,33,1760,4,0,1,3,0,0,0,0,0,0,1206,961,245,28,38,5,26,13,7,2,0
Ander Barrenetxea,Barrenetxea,ES,Real Sociedad,Forward,20,11,548,1,1,0,0,1,0,0,0,0,0,489,387,102,22,15,0,7,5,10,0,0
Ander Guevara,Guevara,ES,Real Sociedad,Midfielder,25,17,870,0,0,0,0,0,0,0,0,0,0,1726,1562,164,1,3,2,2,5,13,2,0
Ander MartÃ­n,Martin,ES,Real Sociedad,Forward,21,5,85,0,0,0,0,0,0,0,0,0,0,123,101,22,3,1,0,2,1,0,0,0
Andoni Gorosabel,Gorosabel,ES,Real Sociedad,Defender,26,32,2296,0,4,0,0,0,0,0,0,0,0,3284,2893,391,16,18,6,5,16,31,4,0
Aritz Elustondo,Aritz,ES,Real Sociedad,Defender,28,30,2102,4,1,0,0,3,0,0,0,0,0,3198,2825,373,1,6,12,10,7,14,3,1
Asier Illarramendi,Illarra,ES,Real Sociedad,Midfielder,32,8,377,0,0,0,0,0,0,0,0,0,0,821,745,76,4,3,0,0,4,5,1,0
Cristo Romero,Romero,ES,Real Sociedad,Defender,22,1,16,0,0,0,0,0,0,0,0,0,0,22,20,2,2,0,0,1,0,0,0,0
David Silva,Silva,ES,Real Sociedad,Midfielder,36,25,1731,2,4,1,1,0,0,0,0,0,0,2945,2687,258,15,29,3,16,11,17,4,1
Diego Rico,Rico,ES,Real Sociedad,Defender,29,21,1646,0,0,0,0,0,0,0,0,0,0,2401,1941,460,17,12,7,7,21,20,4,0
GermÃ¡n Valera,Valera,ES,Real Sociedad,Forward,20,3,49,0,0,0,0,0,0,0,0,0,0,49,42,7,5,2,0,0,1,2,0,0
Igor Zubeldia,Zubeldia,ES,Real Sociedad,Midfielder,25,26,1648,0,1,0,0,0,0,0,0,0,0,2951,2692,259,3,3,3,7,10,10,7,0
Jon Guridi,Guridi,ES,Real Sociedad,Midfielder,27,8,200,1,0,1,0,0,0,0,0,0,0,216,171,45,4,5,0,2,2,3,0,0
Jon Karrikaburu,Karrikaburu,ES,Real Sociedad,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan GÃ³mez,Gomez,MX,Real Sociedad,Defender,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseba Zaldua,Zaldua,ES,Real Sociedad,Defender,30,24,1170,0,0,0,0,0,0,0,0,0,0,1304,1086,218,5,3,4,5,9,22,6,0
Julen Lobete,Lobete,ES,Real Sociedad,Forward,22,13,276,2,0,0,1,1,0,0,0,0,0,148,126,22,6,3,1,6,1,3,0,0
MartÃ­n Zubimendi,Zubimendi,ES,Real Sociedad,Midfielder,23,36,2585,2,1,1,0,1,0,0,0,0,0,4126,3708,418,7,17,12,18,27,25,4,0
Mathew Ryan,Ryan,AU,Real Sociedad,Goalkeeper,30,3,270,0,0,0,0,0,0,0,1,0,10,217,137,80,0,0,1,0,0,0,0,0
Mikel Merino,Merino,ES,Real Sociedad,Midfielder,26,34,2894,3,2,0,2,1,0,0,0,0,0,4796,4006,790,19,28,14,33,33,38,8,0
Mikel Oyarzabal,Oyarzabal,ES,Real Sociedad,Forward,25,22,1673,9,3,2,6,1,5,4,0,0,0,1501,1159,342,21,22,5,29,8,10,0,1
Cristian PortuguÃ©s Manzanera,Portu,ES,Real Sociedad,Midfielder,30,37,1586,1,2,0,0,1,1,1,0,0,0,1243,1011,232,9,9,1,16,9,7,5,0
Rafael AlcÃ¡ntara do Nascimento,Rafael,BR,Real Sociedad,Midfielder,29,17,1060,1,0,0,1,0,0,0,0,0,0,1887,1720,167,18,18,0,11,16,27,3,0
Robin Le Normand,Le Normand,FR,Real Sociedad,Defender,26,37,3330,1,1,1,0,0,0,0,0,0,0,6136,5619,517,2,1,19,13,17,32,7,0
Alejandro Remiro Gargallo,A. Remiro,ES,Real Sociedad,Goalkeeper,27,35,3150,0,0,0,0,0,0,0,5,1,80,2852,2244,608,0,0,19,0,0,0,1,0
Alberto Flores,Alberto F.,ES,Sevilla FC,Goalkeeper,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Pastor,Alfonso P.,ES,Sevilla FC,Goalkeeper,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,Martial,FR,Sevilla FC,Forward,26,9,495,0,1,0,0,0,0,0,0,0,0,429,376,53,9,7,0,6,1,1,1,0
Antonio Zarzana,Zarzana,ES,Sevilla FC,Forward,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Lamela,E. Lamela,AR,Sevilla FC,Midfielder,30,20,1014,5,2,0,4,1,0,0,0,0,0,1350,1211,139,16,18,1,18,13,18,5,0
